Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[HYBRID] warm-start from /rds/general/user/ssl125/home/RL2Grid_full/checkpoint/final_PPO_bus5_T_0_0__I__1776174124_47043_45000000.tar: {'mode': 'soft', 'n_samples': 10080, 'n_actions': 50, 'n_leaves': 16, 'max_depth': 8, 'fidelity': 0.8369047619047619, 'weighted_fidelity': 0.9472571420364244, 'curated': False, 'dagger_rounds': 0}
[DTPO] deterministic eval on 20 fixed chronics (of 20): ids=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
[DTPO] it=77/150 step=769923 J_new=0.0061 kept mode=full leaves=16 survival=100.00% best=100.00% std=0.0%
[DTPO] it=78/150 step=779922 J_new=0.0035 kept mode=full leaves=16 survival=100.00% best=100.00% std=0.0%
[DTPO] it=79/150 step=789921 J_new=0.0013 kept mode=full leaves=16 survival=9.26% best=100.00% std=2.2%
[DTPO] it=80/150 step=799920 J_new=0.0045 kept mode=full leaves=16 survival=0.52% best=100.00% std=0.1%
[DTPO] it=81/150 step=809919 J_new=0.0052 kept mode=full leaves=16 survival=2.18% best=100.00% std=2.4%
[DTPO] it=82/150 step=819918 J_new=0.0023 kept mode=full leaves=16 survival=5.68% best=100.00% std=0.1%
[DTPO] it=83/150 step=829917 J_new=0.0081 kept mode=full leaves=16 survival=0.74% best=100.00% std=1.1%
[DTPO] it=84/150 step=839916 J_new=0.0109 kept mode=full leaves=16 survival=100.00% best=100.00% std=0.0%
[DTPO] it=85/150 step=849915 J_new=0.0393 kept mode=full leaves=16 survival=100.00% best=100.00% std=0.0%
[DTPO] it=86/150 step=859914 J_new=0.0150 kept mode=full leaves=16 survival=8.03% best=100.00% std=21.2%
[DTPO] it=87/150 step=869913 J_new=0.0102 kept mode=full leaves=16 survival=100.00% best=100.00% std=0.0%
[DTPO] it=88/150 step=879912 J_new=0.0113 kept mode=full leaves=16 survival=15.09% best=100.00% std=7.4%
[DTPO] it=89/150 step=889911 J_new=0.0062 kept mode=full leaves=16 survival=91.97% best=100.00% std=24.5%
[DTPO] it=90/150 step=899910 J_new=-0.0143 revert mode=full leaves=16 survival=91.97% best=100.00% std=24.5%
[DTPO] it=91/150 step=909909 J_new=0.0053 kept mode=full leaves=16 survival=100.00% best=100.00% std=0.0%
[DTPO] it=92/150 step=919908 J_new=0.0161 kept mode=full leaves=16 survival=11.27% best=100.00% std=10.8%
[DTPO] it=93/150 step=929907 J_new=-0.0023 revert mode=full leaves=16 survival=11.27% best=100.00% std=10.8%
[DTPO] it=94/150 step=939906 J_new=0.0060 kept mode=full leaves=16 survival=6.93% best=100.00% std=5.4%
[DTPO] it=95/150 step=949905 J_new=0.0046 kept mode=full leaves=16 survival=0.60% best=100.00% std=1.2%
[DTPO] it=96/150 step=959904 J_new=0.0114 kept mode=full leaves=16 survival=9.17% best=100.00% std=14.8%
[DTPO] it=97/150 step=969903 J_new=0.0047 kept mode=full leaves=16 survival=0.77% best=100.00% std=1.1%
[DTPO] it=98/150 step=979902 J_new=0.0092 kept mode=full leaves=16 survival=5.98% best=100.00% std=0.3%
[DTPO] it=99/150 step=989901 J_new=-0.0061 revert mode=full leaves=16 survival=5.98% best=100.00% std=0.3%
[DTPO] it=100/150 step=999900 J_new=-0.0009 revert mode=full leaves=16 survival=5.98% best=100.00% std=0.3%
[DTPO] it=101/150 step=1009899 J_new=0.0086 kept mode=full leaves=16 survival=1.81% best=100.00% std=4.3%
[DTPO] it=102/150 step=1019898 J_new=0.0023 kept mode=full leaves=16 survival=1.45% best=100.00% std=1.6%
[DTPO] it=103/150 step=1029897 J_new=0.0151 kept mode=full leaves=16 survival=8.07% best=100.00% std=4.1%
[DTPO] it=104/150 step=1039896 J_new=0.0098 kept mode=full leaves=16 survival=6.57% best=100.00% std=21.4%
[DTPO] it=105/150 step=1049895 J_new=0.0095 kept mode=full leaves=16 survival=0.61% best=100.00% std=0.8%
[DTPO] it=106/150 step=1059894 J_new=-0.0365 revert mode=full leaves=16 survival=0.61% best=100.00% std=0.8%
[DTPO] it=107/150 step=1069893 J_new=0.0188 kept mode=full leaves=16 survival=60.68% best=100.00% std=36.9%
[DTPO] it=108/150 step=1079892 J_new=0.0078 kept mode=full leaves=16 survival=0.76% best=100.00% std=1.4%
[DTPO] it=109/150 step=1089891 J_new=0.0130 kept mode=full leaves=16 survival=0.55% best=100.00% std=1.0%
[DTPO] it=110/150 step=1099890 J_new=0.0251 kept mode=full leaves=16 survival=0.75% best=100.00% std=1.4%
[DTPO] it=111/150 step=1109889 J_new=0.0085 kept mode=full leaves=16 survival=0.77% best=100.00% std=1.4%
[DTPO] it=112/150 step=1119888 J_new=0.0153 kept mode=full leaves=16 survival=6.11% best=100.00% std=0.1%
[DTPO] it=113/150 step=1129887 J_new=0.0280 kept mode=full leaves=16 survival=5.73% best=100.00% std=0.3%
[DTPO] it=114/150 step=1139886 J_new=0.0281 kept mode=full leaves=16 survival=5.54% best=100.00% std=0.4%
[DTPO] it=115/150 step=1149885 J_new=0.0131 kept mode=full leaves=16 survival=2.50% best=100.00% std=4.2%
[DTPO] it=116/150 step=1159884 J_new=0.0330 kept mode=full leaves=16 survival=11.43% best=100.00% std=4.3%
[DTPO] it=117/150 step=1169883 J_new=0.0059 kept mode=full leaves=16 survival=27.38% best=100.00% std=23.1%
[DTPO] it=118/150 step=1179882 J_new=0.0086 kept mode=full leaves=16 survival=5.70% best=100.00% std=0.2%
