Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[DTPO] deterministic eval on 40 fixed chronics (of 1004): ids=[0, 25, 51, 77, 102, 128, 154, 180, 205, 231, 257, 282, 308, 334, 360, 385, 411, 437, 462, 488, 514, 540, 565, 591, 617, 642, 668, 694, 720, 745, 771, 797, 822, 848, 874, 900, 925, 951, 977, 1003]
[DTPO] it=53/150 step=529947 J_new=0.0504 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=54/150 step=539946 J_new=0.0455 kept mode=full leaves=16 survival=5.17% best=87.46% std=2.0%
[DTPO] it=55/150 step=549945 J_new=0.0153 kept mode=full leaves=16 survival=6.50% best=87.46% std=1.1%
[DTPO] it=56/150 step=559944 J_new=0.0373 kept mode=full leaves=16 survival=13.58% best=87.46% std=0.0%
[DTPO] it=57/150 step=569943 J_new=0.0222 kept mode=full leaves=16 survival=3.24% best=87.46% std=1.8%
[DTPO] it=58/150 step=579942 J_new=0.0220 kept mode=full leaves=16 survival=6.35% best=87.46% std=1.3%
[DTPO] it=59/150 step=589941 J_new=0.0204 kept mode=full leaves=16 survival=6.60% best=87.46% std=0.2%
[DTPO] it=60/150 step=599940 J_new=0.0411 kept mode=full leaves=16 survival=2.76% best=87.46% std=0.6%
[DTPO] it=61/150 step=609939 J_new=0.0285 kept mode=full leaves=16 survival=13.50% best=87.46% std=0.0%
[DTPO] it=62/150 step=619938 J_new=0.0127 kept mode=full leaves=16 survival=13.51% best=87.46% std=0.0%
[DTPO] it=63/150 step=629937 J_new=0.0140 kept mode=full leaves=16 survival=13.50% best=87.46% std=0.0%
[DTPO] it=64/150 step=639936 J_new=0.0142 kept mode=full leaves=16 survival=13.51% best=87.46% std=0.0%
[DTPO] it=65/150 step=649935 J_new=0.0065 kept mode=full leaves=16 survival=13.51% best=87.46% std=0.0%
[DTPO] it=66/150 step=659934 J_new=0.0038 kept mode=full leaves=16 survival=13.48% best=87.46% std=0.0%
[DTPO] it=67/150 step=669933 J_new=0.0131 kept mode=full leaves=16 survival=13.49% best=87.46% std=0.0%
[DTPO] it=68/150 step=679932 J_new=0.0342 kept mode=full leaves=16 survival=13.48% best=87.46% std=0.0%
[DTPO] it=69/150 step=689931 J_new=0.0219 kept mode=full leaves=16 survival=13.49% best=87.46% std=0.0%
[DTPO] it=70/150 step=699930 J_new=0.0178 kept mode=full leaves=16 survival=13.49% best=87.46% std=0.0%
[DTPO] it=71/150 step=709929 J_new=0.0212 kept mode=full leaves=16 survival=13.48% best=87.46% std=0.0%
[DTPO] it=72/150 step=719928 J_new=0.0186 kept mode=full leaves=16 survival=13.49% best=87.46% std=0.0%
[DTPO] it=73/150 step=729927 J_new=0.0190 kept mode=full leaves=16 survival=13.48% best=87.46% std=0.0%
[DTPO] it=74/150 step=739926 J_new=0.0165 kept mode=full leaves=16 survival=13.48% best=87.46% std=0.0%
[DTPO] it=75/150 step=749925 J_new=0.0202 kept mode=full leaves=16 survival=13.49% best=87.46% std=0.0%
[DTPO] it=76/150 step=759924 J_new=0.0193 kept mode=full leaves=16 survival=13.48% best=87.46% std=0.0%
[DTPO] it=77/150 step=769923 J_new=0.0134 kept mode=full leaves=16 survival=13.48% best=87.46% std=0.0%
[DTPO] it=78/150 step=779922 J_new=0.0100 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=79/150 step=789921 J_new=0.0077 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=80/150 step=799920 J_new=0.0088 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=81/150 step=809919 J_new=0.0072 kept mode=full leaves=16 survival=13.54% best=87.46% std=0.0%
