[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[HYBRID] warm-start from /rds/general/user/ssl125/home/RL2Grid_v2/checkpoint/final_PPO_bus14_T_0_0__I__1775940444_3936.tar: {'mode': 'soft', 'n_samples': 20000, 'n_actions': 50, 'n_leaves': 16, 'max_depth': 11, 'fidelity': 0.6656, 'weighted_fidelity': 0.841661586984284, 'curated': False, 'dagger_rounds': 0}
[DTPO] gate eval on 40 training-side chronics (of 1004); overlap with the held-out pool = 0 (must be 0): ids=[0, 25, 50, 76, 102, 128, 153, 178, 205, 230, 256, 282]...
[DTPO] it=1/150 step=9999 J_new=0.0030 kept mode=full gate=accept cand=25.34% leaves=16 survival=25.34% best=25.34% std=22.1%
[DTPO] it=2/150 step=19998 J_new=0.0025 kept mode=full gate=accept cand=42.41% leaves=16 survival=42.41% best=42.41% std=29.7%
[DTPO] it=3/150 step=29997 J_new=0.0036 kept mode=full gate=revert(1) cand=36.95% leaves=16 survival=42.41% best=42.41% std=29.7%
[DTPO] it=4/150 step=39996 J_new=0.0042 kept mode=full gate=accept cand=43.56% leaves=16 survival=43.56% best=43.56% std=30.5%
[DTPO] it=5/150 step=49995 J_new=0.0058 kept mode=full gate=revert(1) cand=41.84% leaves=16 survival=43.56% best=43.56% std=30.5%
[DTPO] it=6/150 step=59994 J_new=0.0043 kept mode=full gate=accept cand=43.69% leaves=16 survival=43.69% best=43.69% std=31.5%
[DTPO] it=7/150 step=69993 J_new=0.0053 kept mode=full gate=accept cand=45.46% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=8/150 step=79992 J_new=0.0011 kept mode=full gate=revert(1) cand=41.68% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=9/150 step=89991 J_new=0.0051 kept mode=full gate=revert(2) cand=41.00% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=10/150 step=99990 J_new=0.0011 kept mode=full gate=revert(3) cand=44.21% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=11/150 step=109989 J_new=-0.0266 revert mode=full gate=hold cand=45.46% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=12/150 step=119988 J_new=-0.0001 revert mode=full gate=hold cand=45.46% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=13/150 step=129987 J_new=-0.0001 revert mode=full gate=hold cand=45.46% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=14/150 step=139986 J_new=-0.0099 revert mode=full gate=hold cand=45.46% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=15/150 step=149985 J_new=-0.0049 revert mode=full gate=hold cand=45.46% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=16/150 step=159984 J_new=-0.0042 revert mode=full gate=hold cand=45.46% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=17/150 step=169983 J_new=0.0253 kept mode=full gate=revert(4) cand=40.69% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=18/150 step=179982 J_new=0.0007 kept mode=full gate=revert(5) cand=45.07% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=19/150 step=189981 J_new=0.0070 kept mode=full gate=revert(6) cand=42.82% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=20/150 step=199980 J_new=-0.0122 revert mode=full gate=hold cand=45.46% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=21/150 step=209979 J_new=0.0027 kept mode=full gate=revert(7) cand=43.45% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=22/150 step=219978 J_new=0.0014 kept mode=full gate=revert(8) cand=41.17% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=23/150 step=229977 J_new=0.0024 kept mode=full gate=revert(9) cand=42.16% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=24/150 step=239976 J_new=0.0026 kept mode=full gate=revert(10) cand=40.46% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=25/150 step=249975 J_new=-0.0037 revert mode=full gate=hold cand=45.46% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=26/150 step=259974 J_new=0.0007 kept mode=full gate=revert(11) cand=42.71% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=27/150 step=269973 J_new=-0.0009 revert mode=full gate=hold cand=45.46% leaves=16 survival=45.46% best=45.46% std=31.3%
[DTPO] it=28/150 step=279972 J_new=0.0001 kept mode=full gate=revert(12) cand=40.60% leaves=16 survival=45.46% best=45.46% std=31.3%
