[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[DTPO] it=40/150 step=399960 J_new=0.0047 kept mode=leaf gate=revert(2) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=41/150 step=409959 J_new=0.0730 kept mode=full gate=revert(3) cand=15.42% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=42/150 step=419958 J_new=0.0034 kept mode=leaf gate=revert(4) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=43/150 step=429957 J_new=0.0038 kept mode=leaf gate=revert(5) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=44/150 step=439956 J_new=0.0037 kept mode=leaf gate=revert(6) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=45/150 step=449955 J_new=0.0046 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=46/150 step=459954 J_new=0.0068 kept mode=full gate=revert(1) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=47/150 step=469953 J_new=0.0037 kept mode=leaf gate=revert(2) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=48/150 step=479952 J_new=0.0038 kept mode=leaf gate=revert(3) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=49/150 step=489951 J_new=0.0034 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=50/150 step=499950 J_new=0.0052 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=51/150 step=509949 J_new=0.0074 kept mode=full gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=52/150 step=519948 J_new=0.0086 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=53/150 step=529947 J_new=0.0084 kept mode=leaf gate=revert(1) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=54/150 step=539946 J_new=0.0039 kept mode=leaf gate=revert(2) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=55/150 step=549945 J_new=0.0040 kept mode=leaf gate=revert(3) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=56/150 step=559944 J_new=0.1424 kept mode=full gate=revert(4) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=57/150 step=569943 J_new=0.0041 kept mode=leaf gate=revert(5) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=58/150 step=579942 J_new=0.0036 kept mode=leaf gate=revert(6) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=59/150 step=589941 J_new=0.0038 kept mode=leaf gate=revert(7) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=60/150 step=599940 J_new=0.0034 kept mode=leaf gate=revert(8) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=61/150 step=609939 J_new=0.1487 kept mode=full gate=revert(9) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=62/150 step=619938 J_new=0.0043 kept mode=leaf gate=revert(10) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=63/150 step=629937 J_new=0.0034 kept mode=leaf gate=revert(11) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=64/150 step=639936 J_new=0.0043 kept mode=leaf gate=revert(12) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=65/150 step=649935 J_new=0.0039 kept mode=leaf gate=revert(13) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=66/150 step=659934 J_new=0.0770 kept mode=full gate=revert(14) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=67/150 step=669933 J_new=0.0037 kept mode=leaf gate=revert(15) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=68/150 step=679932 J_new=0.0037 kept mode=leaf gate=revert(16) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=69/150 step=689931 J_new=0.0037 kept mode=leaf gate=revert(17) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=70/150 step=699930 J_new=0.0037 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=71/150 step=709929 J_new=0.0063 kept mode=full gate=revert(1) cand=0.31% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=72/150 step=719928 J_new=0.0046 kept mode=leaf gate=revert(2) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=73/150 step=729927 J_new=0.0073 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=74/150 step=739926 J_new=0.0059 kept mode=leaf gate=revert(1) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=75/150 step=749925 J_new=0.0042 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=76/150 step=759924 J_new=0.0062 kept mode=full gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=77/150 step=769923 J_new=0.0075 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=78/150 step=779922 J_new=0.0088 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=79/150 step=789921 J_new=0.0082 kept mode=leaf gate=revert(1) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=80/150 step=799920 J_new=0.0035 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=81/150 step=809919 J_new=0.0065 kept mode=full gate=revert(1) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
