Detected IPython. Loading juliacall extension. See https://juliapy.github.io/PythonCall.jl/stable/compat/#IPython
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[DTPO] it=40/150 step=399960 J_new=0.1194 kept mode=full gate=revert(30) cand=5.50% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=41/150 step=409959 J_new=0.0807 kept mode=full gate=revert(31) cand=19.77% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=42/150 step=419958 J_new=0.1774 kept mode=full gate=revert(32) cand=26.99% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=43/150 step=429957 J_new=0.1014 kept mode=full gate=revert(33) cand=12.71% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=44/150 step=439956 J_new=0.1425 kept mode=full gate=revert(34) cand=2.01% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=45/150 step=449955 J_new=0.0889 kept mode=full gate=revert(35) cand=3.49% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=46/150 step=459954 J_new=0.1327 kept mode=full gate=revert(36) cand=19.77% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=47/150 step=469953 J_new=0.1139 kept mode=full gate=revert(37) cand=18.12% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=48/150 step=479952 J_new=0.1130 kept mode=full gate=revert(38) cand=12.60% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=49/150 step=489951 J_new=0.1118 kept mode=full gate=revert(39) cand=19.32% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=50/150 step=499950 J_new=0.1096 kept mode=full gate=revert(40) cand=19.77% leaves=16 survival=63.10% best=63.10% std=42.9%
