Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[HYBRID] warm-start from /rds/general/user/ssl125/home/RL2Grid_full/checkpoint/final_PPO_bus36-M_T_100_0__I__1784927195_14574.tar: {'mode': 'soft', 'n_samples': 19424, 'n_actions': 50, 'n_leaves': 16, 'max_depth': 8, 'fidelity': 0.9742071663920923, 'weighted_fidelity': 0.9975624746467436, 'curated': False, 'dagger_rounds': 0}
[DTPO] deterministic eval on 40 fixed chronics (of 2880): ids=[0, 73, 147, 221, 295, 369, 442, 516, 590, 664, 738, 812, 885, 959, 1033, 1107, 1181, 1254, 1328, 1402, 1476, 1550, 1624, 1697, 1771, 1845, 1919, 1993, 2066, 2140, 2214, 2288, 2362, 2436, 2509, 2583, 2657, 2731, 2805, 2879]
[DTPO] it=1/150 step=9999 J_new=0.0031 kept mode=full leaves=16 survival=35.15% best=35.15% std=24.6%
[DTPO] it=2/150 step=19998 J_new=0.0017 kept mode=leaf leaves=16 survival=41.73% best=41.73% std=24.7%
[DTPO] it=3/150 step=29997 J_new=0.0012 kept mode=leaf leaves=16 survival=38.13% best=41.73% std=22.7%
[DTPO] it=4/150 step=39996 J_new=0.0009 kept mode=leaf leaves=16 survival=34.55% best=41.73% std=25.9%
[DTPO] it=5/150 step=49995 J_new=0.0000 kept mode=leaf leaves=16 survival=50.46% best=50.46% std=34.5%
[DTPO] it=6/150 step=59994 J_new=0.0007 kept mode=full leaves=16 survival=41.29% best=50.46% std=27.1%
[DTPO] it=7/150 step=69993 J_new=0.0006 kept mode=leaf leaves=16 survival=39.30% best=50.46% std=27.6%
[DTPO] it=8/150 step=79992 J_new=0.0004 revert mode=leaf leaves=16 survival=53.65% best=53.65% std=30.1%
[DTPO] it=9/150 step=89991 J_new=0.0001 revert mode=leaf leaves=16 survival=37.90% best=53.65% std=29.6%
[DTPO] it=10/150 step=99990 J_new=0.0000 revert mode=leaf leaves=16 survival=47.08% best=53.65% std=29.0%
[DTPO] it=11/150 step=109989 J_new=0.0002 kept mode=full leaves=16 survival=40.72% best=53.65% std=24.4%
[DTPO] it=12/150 step=119988 J_new=0.0002 revert mode=leaf leaves=16 survival=42.92% best=53.65% std=25.5%
[DTPO] it=13/150 step=129987 J_new=0.0001 revert mode=leaf leaves=16 survival=37.78% best=53.65% std=27.5%
[DTPO] it=14/150 step=139986 J_new=0.0000 revert mode=leaf leaves=16 survival=41.08% best=53.65% std=28.8%
