[F2] training env filtered to 10/20 chronics (every 2th id held out for evaluation)
Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[F2] training env filtered to 10/20 chronics (every 2th id held out for evaluation)
[F2] training env filtered to 10/20 chronics (every 2th id held out for evaluation)
[F2] training env filtered to 10/20 chronics (every 2th id held out for evaluation)
[F2] training env filtered to 10/20 chronics (every 2th id held out for evaluation)
[HYBRID] warm-start from /rds/general/user/ssl125/home/RL2Grid_v2/checkpoint/final_PPO_bus5_T_0_0__I__1776174124_47043_45000000.tar: {'mode': 'soft', 'n_samples': 20000, 'n_actions': 50, 'n_leaves': 64, 'max_depth': 11, 'fidelity': 0.8418, 'weighted_fidelity': 0.9608501899102139, 'curated': False, 'dagger_rounds': 0}
[DTPO] gate eval on 10 training-side chronics (of 20); overlap with the held-out pool = 0 (must be 0): ids=[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[DTPO] it=1/150 step=9999 J_new=0.0098 kept mode=full gate=accept cand=16.93% leaves=64 survival=16.93% best=16.93% std=28.2%
[DTPO] it=2/150 step=19998 J_new=0.0047 kept mode=leaf gate=accept cand=19.75% leaves=64 survival=19.75% best=19.75% std=28.7%
[DTPO] it=3/150 step=29997 J_new=0.0045 kept mode=leaf gate=accept cand=19.75% leaves=64 survival=19.75% best=19.75% std=28.7%
[DTPO] it=4/150 step=39996 J_new=0.0059 kept mode=leaf gate=accept cand=19.75% leaves=64 survival=19.75% best=19.75% std=28.7%
[DTPO] it=5/150 step=49995 J_new=0.0097 kept mode=leaf gate=accept cand=32.62% leaves=64 survival=32.62% best=32.62% std=35.4%
[DTPO] it=6/150 step=59994 J_new=0.0123 kept mode=full gate=revert(1) cand=1.54% leaves=64 survival=32.62% best=32.62% std=35.4%
[DTPO] it=7/150 step=69993 J_new=0.0074 kept mode=leaf gate=accept cand=37.35% leaves=64 survival=37.35% best=37.35% std=41.7%
[DTPO] it=8/150 step=79992 J_new=0.0082 kept mode=leaf gate=revert(1) cand=22.29% leaves=64 survival=37.35% best=37.35% std=41.7%
[DTPO] it=9/150 step=89991 J_new=0.0056 kept mode=leaf gate=revert(2) cand=22.29% leaves=64 survival=37.35% best=37.35% std=41.7%
[DTPO] it=10/150 step=99990 J_new=0.0047 kept mode=leaf gate=accept cand=37.35% leaves=64 survival=37.35% best=37.35% std=41.7%
[DTPO] it=11/150 step=109989 J_new=0.0102 kept mode=full gate=revert(1) cand=29.21% leaves=64 survival=37.35% best=37.35% std=41.7%
[DTPO] it=12/150 step=119988 J_new=0.0048 kept mode=leaf gate=revert(2) cand=22.29% leaves=64 survival=37.35% best=37.35% std=41.7%
[DTPO] it=13/150 step=129987 J_new=0.0027 kept mode=leaf gate=revert(3) cand=20.21% leaves=64 survival=37.35% best=37.35% std=41.7%
[DTPO] it=14/150 step=139986 J_new=0.0032 kept mode=leaf gate=revert(4) cand=24.72% leaves=64 survival=37.35% best=37.35% std=41.7%
[DTPO] it=15/150 step=149985 J_new=0.0055 kept mode=leaf gate=revert(5) cand=22.30% leaves=64 survival=37.35% best=37.35% std=41.7%
[DTPO] it=16/150 step=159984 J_new=-0.1537 revert mode=full gate=hold cand=37.35% leaves=64 survival=37.35% best=37.35% std=41.7%
[DTPO] it=17/150 step=169983 J_new=0.0028 kept mode=leaf gate=revert(6) cand=22.29% leaves=64 survival=37.35% best=37.35% std=41.7%
[DTPO] it=18/150 step=179982 J_new=0.0038 kept mode=leaf gate=revert(7) cand=14.82% leaves=64 survival=37.35% best=37.35% std=41.7%
[DTPO] it=19/150 step=189981 J_new=0.0037 kept mode=leaf gate=accept cand=37.35% leaves=64 survival=37.35% best=37.35% std=41.7%
[DTPO] it=20/150 step=199980 J_new=0.0023 kept mode=leaf gate=accept cand=37.35% leaves=64 survival=37.35% best=37.35% std=41.7%
[DTPO] it=21/150 step=209979 J_new=0.0102 kept mode=full gate=revert(1) cand=9.15% leaves=64 survival=37.35% best=37.35% std=41.7%
[DTPO] it=22/150 step=219978 J_new=0.0039 kept mode=leaf gate=revert(2) cand=21.49% leaves=64 survival=37.35% best=37.35% std=41.7%
