Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[DTPO] it=45/150 step=449955 J_new=0.0008 kept mode=leaf gate=revert(5) cand=10.13% leaves=16 survival=16.07% best=16.07% std=17.4%
[DTPO] it=46/150 step=459954 J_new=0.0055 kept mode=full gate=revert(6) cand=4.81% leaves=16 survival=16.07% best=16.07% std=17.4%
[DTPO] it=47/150 step=469953 J_new=0.0008 kept mode=leaf gate=revert(7) cand=7.23% leaves=16 survival=16.07% best=16.07% std=17.4%
[DTPO] it=48/150 step=479952 J_new=0.0007 kept mode=leaf gate=revert(8) cand=10.34% leaves=16 survival=16.07% best=16.07% std=17.4%
[DTPO] it=49/150 step=489951 J_new=0.0005 kept mode=leaf gate=accept cand=25.00% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=50/150 step=499950 J_new=0.0009 kept mode=leaf gate=revert(1) cand=13.36% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=51/150 step=509949 J_new=0.0019 kept mode=full gate=revert(2) cand=4.81% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=52/150 step=519948 J_new=0.0006 kept mode=leaf gate=revert(3) cand=7.29% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=53/150 step=529947 J_new=0.0005 kept mode=leaf gate=revert(4) cand=7.55% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=54/150 step=539946 J_new=0.0006 kept mode=leaf gate=revert(5) cand=18.61% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=55/150 step=549945 J_new=0.0006 kept mode=leaf gate=revert(6) cand=7.81% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=56/150 step=559944 J_new=0.0033 kept mode=full gate=revert(7) cand=4.81% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=57/150 step=569943 J_new=0.0007 kept mode=leaf gate=revert(8) cand=7.17% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=58/150 step=579942 J_new=0.0006 kept mode=leaf gate=revert(9) cand=12.42% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=59/150 step=589941 J_new=0.0005 kept mode=leaf gate=revert(10) cand=11.48% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=60/150 step=599940 J_new=0.0006 kept mode=leaf gate=revert(11) cand=17.16% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=61/150 step=609939 J_new=0.0038 kept mode=full gate=revert(12) cand=4.81% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=62/150 step=619938 J_new=0.0006 kept mode=leaf gate=revert(13) cand=8.77% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=63/150 step=629937 J_new=0.0006 kept mode=leaf gate=revert(14) cand=9.96% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=64/150 step=639936 J_new=0.0006 kept mode=leaf gate=revert(15) cand=14.67% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=65/150 step=649935 J_new=0.0006 kept mode=leaf gate=revert(16) cand=15.27% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=66/150 step=659934 J_new=0.0060 kept mode=full gate=revert(17) cand=5.53% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=67/150 step=669933 J_new=0.0005 kept mode=leaf gate=revert(18) cand=13.91% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=68/150 step=679932 J_new=0.0004 kept mode=leaf gate=revert(19) cand=7.33% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=69/150 step=689931 J_new=0.0005 kept mode=leaf gate=revert(20) cand=9.76% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=70/150 step=699930 J_new=0.0004 kept mode=leaf gate=revert(21) cand=18.08% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=71/150 step=709929 J_new=0.0062 kept mode=full gate=revert(22) cand=7.81% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=72/150 step=719928 J_new=0.0010 kept mode=leaf gate=revert(23) cand=8.66% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=73/150 step=729927 J_new=0.0010 kept mode=leaf gate=revert(24) cand=7.96% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=74/150 step=739926 J_new=0.0010 kept mode=leaf gate=revert(25) cand=12.06% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=75/150 step=749925 J_new=0.0008 kept mode=leaf gate=revert(26) cand=13.70% leaves=16 survival=25.00% best=25.00% std=21.4%
[DTPO] it=76/150 step=759924 J_new=0.0064 kept mode=full gate=accept cand=49.21% leaves=16 survival=49.21% best=49.21% std=31.9%
[DTPO] it=77/150 step=769923 J_new=0.0067 kept mode=leaf gate=accept cand=55.86% leaves=16 survival=55.86% best=55.86% std=31.4%
[DTPO] it=78/150 step=779922 J_new=0.0058 kept mode=leaf gate=revert(1) cand=54.60% leaves=16 survival=55.86% best=55.86% std=31.4%
[DTPO] it=79/150 step=789921 J_new=0.0054 kept mode=leaf gate=revert(2) cand=54.06% leaves=16 survival=55.86% best=55.86% std=31.4%
[DTPO] it=80/150 step=799920 J_new=0.0006 kept mode=leaf gate=revert(3) cand=50.43% leaves=16 survival=55.86% best=55.86% std=31.4%
[DTPO] it=81/150 step=809919 J_new=0.0001 kept mode=full gate=revert(4) cand=4.81% leaves=16 survival=55.86% best=55.86% std=31.4%
[DTPO] it=82/150 step=819918 J_new=0.0003 kept mode=leaf gate=revert(5) cand=47.55% leaves=16 survival=55.86% best=55.86% std=31.4%
[DTPO] it=83/150 step=829917 J_new=0.0003 kept mode=leaf gate=revert(6) cand=48.98% leaves=16 survival=55.86% best=55.86% std=31.4%
[DTPO] it=84/150 step=839916 J_new=0.0002 kept mode=leaf gate=revert(7) cand=44.72% leaves=16 survival=55.86% best=55.86% std=31.4%
[DTPO] it=85/150 step=849915 J_new=0.0002 kept mode=leaf gate=revert(8) cand=50.36% leaves=16 survival=55.86% best=55.86% std=31.4%
[DTPO] it=86/150 step=859914 J_new=0.0026 kept mode=full gate=revert(9) cand=4.78% leaves=16 survival=55.86% best=55.86% std=31.4%
[DTPO] it=87/150 step=869913 J_new=0.0004 kept mode=leaf gate=revert(10) cand=46.59% leaves=16 survival=55.86% best=55.86% std=31.4%
[DTPO] it=88/150 step=879912 J_new=0.0003 kept mode=leaf gate=revert(11) cand=49.52% leaves=16 survival=55.86% best=55.86% std=31.4%
[DTPO] it=89/150 step=889911 J_new=0.0004 kept mode=leaf gate=accept cand=57.21% leaves=16 survival=57.21% best=57.21% std=33.7%
[DTPO] it=90/150 step=899910 J_new=0.0006 kept mode=leaf gate=revert(1) cand=54.63% leaves=16 survival=57.21% best=57.21% std=33.7%
[DTPO] it=91/150 step=909909 J_new=0.0010 kept mode=full gate=revert(2) cand=4.75% leaves=16 survival=57.21% best=57.21% std=33.7%
[DTPO] it=92/150 step=919908 J_new=0.0005 kept mode=leaf gate=revert(3) cand=46.31% leaves=16 survival=57.21% best=57.21% std=33.7%
[DTPO] it=93/150 step=929907 J_new=0.0003 kept mode=leaf gate=revert(4) cand=50.58% leaves=16 survival=57.21% best=57.21% std=33.7%
[DTPO] it=94/150 step=939906 J_new=0.0003 kept mode=leaf gate=revert(5) cand=52.19% leaves=16 survival=57.21% best=57.21% std=33.7%
[DTPO] it=95/150 step=949905 J_new=0.0003 kept mode=leaf gate=accept cand=58.91% leaves=16 survival=58.91% best=58.91% std=32.0%
[DTPO] it=96/150 step=959904 J_new=0.0010 kept mode=full gate=revert(1) cand=4.81% leaves=16 survival=58.91% best=58.91% std=32.0%
[DTPO] it=97/150 step=969903 J_new=0.0005 kept mode=leaf gate=revert(2) cand=57.96% leaves=16 survival=58.91% best=58.91% std=32.0%
[DTPO] it=98/150 step=979902 J_new=0.0006 kept mode=leaf gate=revert(3) cand=50.31% leaves=16 survival=58.91% best=58.91% std=32.0%
[DTPO] it=99/150 step=989901 J_new=0.0005 kept mode=leaf gate=revert(4) cand=54.30% leaves=16 survival=58.91% best=58.91% std=32.0%
[DTPO] it=100/150 step=999900 J_new=0.0005 kept mode=leaf gate=revert(5) cand=53.10% leaves=16 survival=58.91% best=58.91% std=32.0%
[DTPO] it=101/150 step=1009899 J_new=0.0030 kept mode=full gate=revert(6) cand=4.81% leaves=16 survival=58.91% best=58.91% std=32.0%
[DTPO] it=102/150 step=1019898 J_new=0.0003 kept mode=leaf gate=revert(7) cand=55.41% leaves=16 survival=58.91% best=58.91% std=32.0%
[DTPO] it=103/150 step=1029897 J_new=0.0003 kept mode=leaf gate=revert(8) cand=52.29% leaves=16 survival=58.91% best=58.91% std=32.0%
[DTPO] it=104/150 step=1039896 J_new=0.0005 kept mode=leaf gate=revert(9) cand=50.75% leaves=16 survival=58.91% best=58.91% std=32.0%
[DTPO] it=105/150 step=1049895 J_new=0.0004 kept mode=leaf gate=accept cand=60.10% leaves=16 survival=60.10% best=60.10% std=34.1%
[DTPO] it=106/150 step=1059894 J_new=0.0023 kept mode=full gate=revert(1) cand=4.81% leaves=16 survival=60.10% best=60.10% std=34.1%
[DTPO] it=107/150 step=1069893 J_new=0.0008 kept mode=leaf gate=revert(2) cand=51.68% leaves=16 survival=60.10% best=60.10% std=34.1%
[DTPO] it=108/150 step=1079892 J_new=0.0006 kept mode=leaf gate=revert(3) cand=58.10% leaves=16 survival=60.10% best=60.10% std=34.1%
[DTPO] it=109/150 step=1089891 J_new=0.0005 kept mode=leaf gate=accept cand=63.56% leaves=16 survival=63.56% best=63.56% std=33.7%
[DTPO] it=110/150 step=1099890 J_new=0.0010 kept mode=leaf gate=revert(1) cand=58.39% leaves=16 survival=63.56% best=63.56% std=33.7%
[DTPO] it=111/150 step=1109889 J_new=0.0012 kept mode=full gate=revert(2) cand=4.81% leaves=16 survival=63.56% best=63.56% std=33.7%
[DTPO] it=112/150 step=1119888 J_new=0.0007 kept mode=leaf gate=revert(3) cand=52.49% leaves=16 survival=63.56% best=63.56% std=33.7%
[DTPO] it=113/150 step=1129887 J_new=0.0005 kept mode=leaf gate=revert(4) cand=53.34% leaves=16 survival=63.56% best=63.56% std=33.7%
[DTPO] it=114/150 step=1139886 J_new=0.0006 kept mode=leaf gate=revert(5) cand=49.76% leaves=16 survival=63.56% best=63.56% std=33.7%
[DTPO] it=115/150 step=1149885 J_new=0.0006 kept mode=leaf gate=revert(6) cand=47.01% leaves=16 survival=63.56% best=63.56% std=33.7%
[DTPO] it=116/150 step=1159884 J_new=0.0010 kept mode=full gate=revert(7) cand=4.81% leaves=16 survival=63.56% best=63.56% std=33.7%
[DTPO] it=117/150 step=1169883 J_new=0.0006 kept mode=leaf gate=revert(8) cand=49.00% leaves=16 survival=63.56% best=63.56% std=33.7%
[DTPO] it=118/150 step=1179882 J_new=0.0005 kept mode=leaf gate=revert(9) cand=53.77% leaves=16 survival=63.56% best=63.56% std=33.7%
[DTPO] it=119/150 step=1189881 J_new=0.0004 kept mode=leaf gate=revert(10) cand=53.30% leaves=16 survival=63.56% best=63.56% std=33.7%
[DTPO] it=120/150 step=1199880 J_new=0.0004 kept mode=leaf gate=revert(11) cand=45.15% leaves=16 survival=63.56% best=63.56% std=33.7%
[DTPO] it=121/150 step=1209879 J_new=0.0030 kept mode=full gate=revert(12) cand=4.81% leaves=16 survival=63.56% best=63.56% std=33.7%
